date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
2025-03-30,日曜日,Sunday,True,False,,友引,愛のバイブレーション,深紅色,生姜茶,89,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,獅子座,愚者 - 新しい始まり,笑顔は心の太陽,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-03-31,月曜日,Monday,False,False,,先負,豊かさの波動,金色,黒豆茶,90,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,乙女座,魔術師 - 創造力,優しさは伝染する,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-04-01,火曜日,Tuesday,False,False,,仏滅,運命の扉が開く日,朱色,アールグレイ,91,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,天秤座,女教皇 - 直感,夢は現実の種,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-04-02,水曜日,Wednesday,False,False,,大安,宇宙からのメッセージ,空色,カモミールティー,92,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,女帝 - 豊穣,勇気は恐れを超越する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-04-03,木曜日,Thursday,False,False,,赤口,奇跡を呼ぶ波動,若草色,ペパーミントティー,93,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,皇帝 - 安定,知恵は経験から生まれる,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-04-04,金曜日,Friday,False,False,,先勝,龍神様のご加護,黄金色,緑茶,94,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,教皇 - 叡智,調和は美の根源,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-04-05,土曜日,Saturday,True,False,,友引,金運上昇のサイン,鋼青色,ほうじ茶,95,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,恋人 - 選択,希望は明日への光,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-04-06,日曜日,Sunday,True,False,,先負,恋愛運絶好調,深紅色,ジャスミンティー,96,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,戦車 - 意志力,慈悲は魂の栄養,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-04-07,月曜日,Monday,False,False,,仏滅,直感力が冴える,金色,ルイボスティー,97,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,力 - 内なる強さ,一歩一歩が大切な旅路,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-04-08,火曜日,Tuesday,False,False,,大安,隠れた才能開花,朱色,ローズヒップティー,98,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,隠者 - 内省,今日という日は二度と来ない,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-04-09,水曜日,Wednesday,False,False,,赤口,人生の転機到来,空色,白茶,99,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,運命の輪 - 転機,心の平安が真の豊かさ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-04-10,木曜日,Thursday,False,False,,先勝,幸運の風が吹く,若草色,烏龍茶,1,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,正義 - バランス,変化は成長の扉,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-04-11,金曜日,Friday,False,False,,友引,魂の成長期間,黄金色,玄米茶,2,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,吊られた男 - 犠牲,感謝の心が幸福を呼ぶ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-04-12,土曜日,Saturday,True,False,,先負,エネルギー充電日,鋼青色,抹茶,3,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,死神 - 変容,愛は最も強いエネルギー,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-04-13,日曜日,Sunday,True,False,,仏滅,新次元への扉,深紅色,柚子茶,4,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,節制 - 調和,困難は成長のギフト,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-04-14,月曜日,Monday,False,False,,大安,守護霊のささやき,金色,生姜茶,5,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,悪魔 - 誘惑,今この瞬間が全て,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-04-15,火曜日,Tuesday,False,False,,赤口,願いが叶う予感,朱色,黒豆茶,6,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,塔 - 変革,笑顔は心の太陽,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-04-16,水曜日,Wednesday,False,False,,先勝,心のデトックス,空色,アールグレイ,7,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,星 - 希望,優しさは伝染する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-04-17,木曜日,Thursday,False,False,,友引,創造力爆発,若草色,カモミールティー,8,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,月 - 幻想,夢は現実の種,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-04-18,金曜日,Friday,False,False,,先負,人との縁を結ぶ,黄金色,ペパーミントティー,9,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,太陽 - 成功,勇気は恐れを超越する,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-04-19,土曜日,Saturday,True,False,,仏滅,未来への種まき,鋼青色,緑茶,10,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,審判 - 再生,知恵は経験から生まれる,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-04-20,日曜日,Sunday,True,False,,大安,宝物発見の予感,深紅色,ほうじ茶,11,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,世界 - 完成,調和は美の根源,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-04-21,月曜日,Monday,False,False,,赤口,内なる光が輝く,金色,ジャスミンティー,12,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,愚者 - 新しい始まり,希望は明日への光,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-04-22,火曜日,Tuesday,False,False,,先勝,調和のメロディ,朱色,ルイボスティー,13,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,魔術師 - 創造力,慈悲は魂の栄養,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-04-23,水曜日,Wednesday,False,False,,友引,自然の叡智授受,空色,ローズヒップティー,14,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,女教皇 - 直感,一歩一歩が大切な旅路,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-04-24,木曜日,Thursday,False,False,,先負,知恵の泉湧出,若草色,白茶,15,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,女帝 - 豊穣,今日という日は二度と来ない,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-04-25,金曜日,Friday,False,False,,仏滅,至福の時間軸,黄金色,烏龍茶,16,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,天秤座,皇帝 - 安定,心の平安が真の豊かさ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-04-26,土曜日,Saturday,True,False,,大安,運気上昇の兆し,鋼青色,玄米茶,17,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,蠍座,教皇 - 叡智,変化は成長の扉,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-04-27,日曜日,Sunday,True,False,,赤口,心の扉が開放,深紅色,抹茶,18,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,射手座,恋人 - 選択,感謝の心が幸福を呼ぶ,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-04-28,月曜日,Monday,False,False,,先勝,宇宙との同調,金色,柚子茶,19,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,山羊座,戦車 - 意志力,愛は最も強いエネルギー,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-04-29,火曜日,Tuesday,False,True,昭和の日,友引,愛のバイブレーション,朱色,生姜茶,20,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,水瓶座,力 - 内なる強さ,困難は成長のギフト,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-04-30,水曜日,Wednesday,False,False,,先負,豊かさの波動,空色,黒豆茶,21,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,魚座,隠者 - 内省,今この瞬間が全て,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-05-01,木曜日,Thursday,False,False,,大安,運命の扉が開く日,若草色,アールグレイ,22,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,運命の輪 - 転機,笑顔は心の太陽,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-05-02,金曜日,Friday,False,False,,赤口,宇宙からのメッセージ,黄金色,カモミールティー,23,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,正義 - バランス,優しさは伝染する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-05-03,土曜日,Saturday,True,True,憲法記念日,先勝,奇跡を呼ぶ波動,鋼青色,ペパーミントティー,24,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,吊られた男 - 犠牲,夢は現実の種,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-05-04,日曜日,Sunday,True,True,みどりの日,友引,龍神様のご加護,深紅色,緑茶,25,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,死神 - 変容,勇気は恐れを超越する,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-05-05,月曜日,Monday,False,True,こどもの日,先負,金運上昇のサイン,金色,ほうじ茶,26,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,節制 - 調和,知恵は経験から生まれる,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-05-06,火曜日,Tuesday,False,False,,仏滅,恋愛運絶好調,朱色,ジャスミンティー,27,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,悪魔 - 誘惑,調和は美の根源,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-05-07,水曜日,Wednesday,False,False,,大安,直感力が冴える,空色,ルイボスティー,28,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,塔 - 変革,希望は明日への光,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-05-08,木曜日,Thursday,False,False,,赤口,隠れた才能開花,若草色,ローズヒップティー,29,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,星 - 希望,慈悲は魂の栄養,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-05-09,金曜日,Friday,False,False,,先勝,人生の転機到来,黄金色,白茶,30,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,月 - 幻想,一歩一歩が大切な旅路,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-05-10,土曜日,Saturday,True,False,,友引,幸運の風が吹く,鋼青色,烏龍茶,31,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,太陽 - 成功,今日という日は二度と来ない,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-05-11,日曜日,Sunday,True,False,,先負,魂の成長期間,深紅色,玄米茶,32,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,審判 - 再生,心の平安が真の豊かさ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-05-12,月曜日,Monday,False,False,,仏滅,エネルギー充電日,金色,抹茶,33,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,世界 - 完成,変化は成長の扉,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-05-13,火曜日,Tuesday,False,False,,大安,新次元への扉,朱色,柚子茶,34,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,愚者 - 新しい始まり,感謝の心が幸福を呼ぶ,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-05-14,水曜日,Wednesday,False,False,,赤口,守護霊のささやき,空色,生姜茶,35,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,魔術師 - 創造力,愛は最も強いエネルギー,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-05-15,木曜日,Thursday,False,False,,先勝,願いが叶う予感,若草色,黒豆茶,36,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,双子座,女教皇 - 直感,困難は成長のギフト,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-05-16,金曜日,Friday,False,False,,友引,心のデトックス,黄金色,アールグレイ,37,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,蟹座,女帝 - 豊穣,今この瞬間が全て,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-05-17,土曜日,Saturday,True,False,,先負,創造力爆発,鋼青色,カモミールティー,38,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,獅子座,皇帝 - 安定,笑顔は心の太陽,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-05-18,日曜日,Sunday,True,False,,仏滅,人との縁を結ぶ,深紅色,ペパーミントティー,39,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,乙女座,教皇 - 叡智,優しさは伝染する,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-05-19,月曜日,Monday,False,False,,大安,未来への種まき,金色,緑茶,40,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,天秤座,恋人 - 選択,夢は現実の種,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-05-20,火曜日,Tuesday,False,False,,赤口,宝物発見の予感,朱色,ほうじ茶,41,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,蠍座,戦車 - 意志力,勇気は恐れを超越する,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-05-21,水曜日,Wednesday,False,False,,先勝,内なる光が輝く,空色,ジャスミンティー,42,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,射手座,力 - 内なる強さ,知恵は経験から生まれる,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-05-22,木曜日,Thursday,False,False,,友引,調和のメロディ,若草色,ルイボスティー,43,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,山羊座,隠者 - 内省,調和は美の根源,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-05-23,金曜日,Friday,False,False,,先負,自然の叡智授受,黄金色,ローズヒップティー,44,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,水瓶座,運命の輪 - 転機,希望は明日への光,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-05-24,土曜日,Saturday,True,False,,仏滅,知恵の泉湧出,鋼青色,白茶,45,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,魚座,正義 - バランス,慈悲は魂の栄養,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-05-25,日曜日,Sunday,True,False,,大安,至福の時間軸,深紅色,烏龍茶,46,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,牡羊座,吊られた男 - 犠牲,一歩一歩が大切な旅路,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-05-26,月曜日,Monday,False,False,,赤口,運気上昇の兆し,金色,玄米茶,47,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,牡牛座,死神 - 変容,今日という日は二度と来ない,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-05-27,火曜日,Tuesday,False,False,,先勝,心の扉が開放,朱色,抹茶,48,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,双子座,節制 - 調和,心の平安が真の豊かさ,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-05-28,水曜日,Wednesday,False,False,,友引,宇宙との同調,空色,柚子茶,49,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,蟹座,悪魔 - 誘惑,変化は成長の扉,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-05-29,木曜日,Thursday,False,False,,先負,愛のバイブレーション,若草色,生姜茶,50,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,獅子座,塔 - 変革,感謝の心が幸福を呼ぶ,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-05-30,金曜日,Friday,False,False,,仏滅,豊かさの波動,黄金色,黒豆茶,51,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,乙女座,星 - 希望,愛は最も強いエネルギー,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-05-31,土曜日,Saturday,True,False,,大安,運命の扉が開く日,鋼青色,アールグレイ,52,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,天秤座,月 - 幻想,困難は成長のギフト,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-06-01,日曜日,Sunday,True,False,,赤口,宇宙からのメッセージ,深紅色,カモミールティー,53,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,太陽 - 成功,今この瞬間が全て,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-06-02,月曜日,Monday,False,False,,先勝,奇跡を呼ぶ波動,金色,ペパーミントティー,54,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,審判 - 再生,笑顔は心の太陽,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-06-03,火曜日,Tuesday,False,False,,友引,龍神様のご加護,朱色,緑茶,55,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,世界 - 完成,優しさは伝染する,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-06-04,水曜日,Wednesday,False,False,,先負,金運上昇のサイン,空色,ほうじ茶,56,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,愚者 - 新しい始まり,夢は現実の種,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-06-05,木曜日,Thursday,False,False,,仏滅,恋愛運絶好調,若草色,ジャスミンティー,57,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,魔術師 - 創造力,勇気は恐れを超越する,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-06-06,金曜日,Friday,False,False,,大安,直感力が冴える,黄金色,ルイボスティー,58,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,女教皇 - 直感,知恵は経験から生まれる,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-06-07,土曜日,Saturday,True,False,,赤口,隠れた才能開花,鋼青色,ローズヒップティー,59,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,女帝 - 豊穣,調和は美の根源,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-06-08,日曜日,Sunday,True,False,,先勝,人生の転機到来,深紅色,白茶,60,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,皇帝 - 安定,希望は明日への光,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-06-09,月曜日,Monday,False,False,,友引,幸運の風が吹く,金色,烏龍茶,61,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,教皇 - 叡智,慈悲は魂の栄養,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-06-10,火曜日,Tuesday,False,False,,先負,魂の成長期間,朱色,玄米茶,62,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,恋人 - 選択,一歩一歩が大切な旅路,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-06-11,水曜日,Wednesday,False,False,,仏滅,エネルギー充電日,空色,抹茶,63,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,戦車 - 意志力,今日という日は二度と来ない,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-06-12,木曜日,Thursday,False,False,,大安,新次元への扉,若草色,柚子茶,64,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,力 - 内なる強さ,心の平安が真の豊かさ,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-06-13,金曜日,Friday,False,False,,赤口,守護霊のささやき,黄金色,生姜茶,65,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,隠者 - 内省,変化は成長の扉,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-06-14,土曜日,Saturday,True,False,,先勝,願いが叶う予感,鋼青色,黒豆茶,66,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,運命の輪 - 転機,感謝の心が幸福を呼ぶ,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-06-15,日曜日,Sunday,True,False,,友引,心のデトックス,深紅色,アールグレイ,67,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,正義 - バランス,愛は最も強いエネルギー,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-06-16,月曜日,Monday,False,False,,先負,創造力爆発,金色,カモミールティー,68,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,吊られた男 - 犠牲,困難は成長のギフト,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-06-17,火曜日,Tuesday,False,False,,仏滅,人との縁を結ぶ,朱色,ペパーミントティー,69,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,死神 - 変容,今この瞬間が全て,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-06-18,水曜日,Wednesday,False,False,,大安,未来への種まき,空色,緑茶,70,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,節制 - 調和,笑顔は心の太陽,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-06-19,木曜日,Thursday,False,False,,赤口,宝物発見の予感,若草色,ほうじ茶,71,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,悪魔 - 誘惑,優しさは伝染する,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-06-20,金曜日,Friday,False,False,,先勝,内なる光が輝く,黄金色,ジャスミンティー,72,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,塔 - 変革,夢は現実の種,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-06-21,土曜日,Saturday,True,False,,友引,調和のメロディ,鋼青色,ルイボスティー,73,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,星 - 希望,勇気は恐れを超越する,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-06-22,日曜日,Sunday,True,False,,先負,自然の叡智授受,深紅色,ローズヒップティー,74,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,月 - 幻想,知恵は経験から生まれる,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-06-23,月曜日,Monday,False,False,,仏滅,知恵の泉湧出,金色,白茶,75,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,太陽 - 成功,調和は美の根源,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-06-24,火曜日,Tuesday,False,False,,大安,至福の時間軸,朱色,烏龍茶,76,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,天秤座,審判 - 再生,希望は明日への光,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-06-25,水曜日,Wednesday,False,False,,赤口,運気上昇の兆し,空色,玄米茶,77,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,蠍座,世界 - 完成,慈悲は魂の栄養,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-06-26,木曜日,Thursday,False,False,,先勝,心の扉が開放,若草色,抹茶,78,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,射手座,愚者 - 新しい始まり,一歩一歩が大切な旅路,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
